season,batting_team,batter,matches,total_balls,total_runs,dot_balls,ones,twos,threes,fours,sixes,thirty_plus,fifty_plus,hundred_plus,dismissals,Not_outs,batting_average,strike_rate,runs_fours(4s)%,runs_sixes(6s)%,boundary_runs(%),dot_balls(%),Hussey_Index,DPPI,BPI
2023,Punjab Kings,Sikandar Raza,7,98,139,42,31,13,2,10,6,2,1,0,5,2,27.8,141.84,28.78,25.9,54.68,42.86,169.64000000000001,39.43,59.4
2023,Rajasthan Royals,D Padikkal,11,200,261,79,81,7,2,31,6,3,2,0,10,1,26.1,130.5,47.51,13.79,61.3,39.5,156.6,34.06,57.03
2023,Rajasthan Royals,Dhruv Jurel,11,88,152,26,40,7,0,11,9,3,0,0,7,4,21.71,172.73,28.95,35.53,64.47,29.55,194.44,37.5,69.46
2023,Rajasthan Royals,JC Buttler,14,282,392,124,98,18,2,42,14,5,4,0,14,0,28.0,139.01,42.86,21.43,64.29,43.97,167.01,38.92,60.76
2023,Rajasthan Royals,R Ashwin,9,51,67,23,19,5,0,5,3,1,0,0,6,3,11.17,131.37,29.85,26.87,56.72,45.1,142.54,14.67,53.29
2023,Rajasthan Royals,R Parag,7,66,78,30,26,3,0,4,5,0,0,0,6,1,13.0,118.18,20.51,38.46,58.97,45.45,131.18,15.36,49.95
2023,Rajasthan Royals,SO Hetmyer,13,197,299,75,77,18,0,12,23,6,1,0,8,5,37.38,151.78,16.05,46.15,62.21,38.07,189.16,56.74,66.1
2023,Rajasthan Royals,SV Samson,14,236,362,86,92,13,0,25,24,6,3,0,12,2,30.17,153.39,27.62,39.78,67.4,36.44,183.56,46.28,66.18
2023,Rajasthan Royals,YBK Jaiswal,14,382,625,167,107,12,2,83,26,9,5,1,13,1,48.08,163.61,53.12,24.96,78.08,43.72,211.69,78.66,75.22
2023,Royal Challengers Bangalore,Anuj Rawat,7,71,91,26,29,7,0,6,4,0,0,0,3,4,30.33,128.17,26.37,26.37,52.75,36.62,158.5,38.87,55.47
2023,Royal Challengers Bangalore,F du Plessis,14,475,730,141,219,26,1,60,36,10,8,0,13,1,56.15,153.68,32.88,29.59,62.47,29.68,209.83,86.29,71.13
2023,Royal Challengers Bangalore,GJ Maxwell,14,218,400,79,75,10,1,29,31,5,5,0,12,2,33.33,183.49,29.0,46.5,75.5,36.24,216.82,61.16,77.76
2023,Royal Challengers Bangalore,KD Karthik,13,104,140,37,44,7,0,13,5,1,0,0,12,1,11.67,134.62,37.14,21.43,58.57,35.58,146.29,15.71,54.53
2023,Royal Challengers Bangalore,MK Lomror,10,97,135,37,43,4,0,9,8,2,1,0,8,2,16.88,139.18,26.67,35.56,62.22,38.14,156.06,23.49,57.92
2023,Royal Challengers Bangalore,V Kohli,14,457,639,146,210,35,1,65,16,9,6,2,12,2,53.25,139.82,40.69,15.02,55.71,31.95,193.07,74.45,64.94
